EffectiveDate,MeterName,MeterSubCategory,MeterRegion,PerHour,PerMonth
30-Nov-2019,E64a v4/E64as v4 Low Priority,Eav4/Easv4 Series Windows,EU West,3.123,2279.79
30-Apr-2019,NC6s v3,NCSv3 Series,AP Southeast,4.234,3090.82
09-Aug-2018,M16ms,MS Series Windows,AP East,6.995875,5106.9887499999995
19-Oct-2017,L8s v2 Low Priority,LSv2 Series Windows,US East,0.397,289.81
30-Nov-2019,E8a v4/E8as v4 Low Priority,Eav4/Easv4 Series,EU West,0.122,89.06
31-Mar-2019,M32s Low Priority,MS Series,AP Southeast,0.967,705.91
31-Jul-2019,E64 v3/E64s v3,Ev3/ESv3 Series,AP East,4.81,3511.2999999999997
09-Aug-2019,NV24s v3,NVSv3 Series Windows,AP Southeast,4.284,3127.3199999999997
30-Apr-2014,A7,A Series Windows,AP Southeast,1.28,934.4
08-May-2019,B12ms,BS Series Windows,US East 2,0.547,399.31
26-Apr-2018,M64ls Low Priority,MS Series Windows,EU West,2.4772,1808.356
12-Jan-2020,Dsv3 Type1,DSv3 Series Dedicated Host,AP Southeast,4.218,3079.14
31-Oct-2016,A2m v2,Av2 Series Windows,EU North,0.21,153.29999999999998
30-Nov-2019,D16a v4/D16as v4,Dav4/Dasv4 Series Windows,EU West,1.656,1208.8799999999999
02-Dec-2019,Type 2 HM,MSv2 Series Dedicated Host,EU North,130.88,95542.4
28-Feb-2019,D4 v2/DS4 v2 Low Priority,Dv2/DSv2 Series Windows,AP East,0.533,389.09000000000003
02-Nov-2017,F4/F4s Low Priority,F/FS Series Windows,EU West,0.164,119.72
31-May-2018,D3 v2/DS3 v2 Low Priority,Dv2/DSv2 Series Windows,US East 2,0.187,136.51
30-Apr-2017,G2/GS2 Low Priority,G/GS Series Windows,US East 2,0.488,356.24
30-Nov-2019,D4a v4/D4as v4 Low Priority,Dav4/Dasv4 Series,EU West,0.046,33.58
31-Oct-2018,B4ms,BS Series,US East 2,0.166,121.18
29-Jan-2018,NC6s v2 Low Priority,NCSv2 Series,AP Southeast,0.6076,443.548
02-Nov-2017,M64ms Low Priority,MS Series,AP Southeast,2.998,2188.54
30-Nov-2019,E48a v4/E48as v4 Low Priority,Eav4/Easv4 Series,AP Southeast,0.73,532.9
31-Jul-2018,NC12s v3 Low Priority,NCSv3 Series,US East,1.224,893.52
26-Apr-2018,M16s,MS Series,EU West,3.3418,2439.514
31-May-2018,D1 v2/DS1 v2,Dv2/DSv2 Series Windows,US East,0.126,91.98
30-Nov-2019,E4a v4/E4as v4,Eav4/Easv4 Series,US East 2,0.252,183.96
30-Nov-2019,D16a v4/D16as v4 Low Priority,Dav4/Dasv4 Series,US East 2,0.154,112.42
02-Nov-2017,F2/F2s Low Priority,F/FS Series Windows,AP East,0.104,75.92
30-Apr-2017,A11 Low Priority,A Series Windows,EU North,0.864,630.72
30-Apr-2017,A6 Low Priority,A Series Windows,EU West,0.272,198.56
10-May-2018,E20 v3/E20s v3 Low Priority,Ev3/ESv3 Series,AP Southeast,0.32,233.6
31-Mar-2019,E20 v3/E20s v3 Low Priority,Ev3/ESv3 Series Windows,EU West,0.976,712.48
31-Jul-2019,NV24s v3 Low Priority,NVSv3 Series,EU West,0.57,416.09999999999997
27-Feb-2019,M208s v2 Low Priority,MSv2 Series Windows,US East,12.751,9308.23
28-Feb-2017,A7 Low Priority,A Series,AP East,0.235,171.54999999999998
10-Jan-2019,Fsv2 Type2,FSv2 Series Dedicated Host,EU West,3.841,2803.9300000000003
31-Jul-2019,D64 v3/D64s v3,Dv3/DSv3 Series,AP East,4.224,3083.52
30-Dec-2019,NV8s v4,NVSv4 Series Windows,US East,0.417,304.40999999999997
10-Jan-2019,NV12,NV Promo Series,US East,1.368,998.6400000000001
31-Mar-2017,A2m v2 Low Priority,Av2 Series,US East,0.024,17.52
31-Jul-2019,E64 v3/E64s v3 Low Priority,Ev3/ESv3 Series,AP East,0.962,702.26
02-Nov-2017,M64ms Low Priority,MS Series,US East,2.067,1508.91
30-Jun-2019,HC44rs Low Priority,HCS Series,EU West,0.824,601.52
30-Apr-2017,G2/GS2 Low Priority,G/GS Series Windows,EU West,0.616,449.68
30-Nov-2017,A2 Low Priority,A Series Basic Windows,AP Southeast,0.0548,40.004
30-Jun-2019,PB24s,PB Series Windows,US East,4.424,3229.5200000000004
30-Apr-2019,NC24rs v3 Low Priority,NCSv3 Series Windows,AP Southeast,7.938,5794.74
31-Oct-2016,A2m v2,Av2 Series,AP East,0.178,129.94
02-Nov-2017,D16 v3/D16s v3 Low Priority,Dv3/DSv3 Series Windows,AP Southeast,0.694,506.61999999999995
10-Oct-2018,DC4s Low Priority,DCS Series Windows,US East,0.195,142.35
31-May-2018,D4 v3/D4s v3 Low Priority,Dv3/DSv3 Series Windows,US East 2,0.15,109.5
31-May-2018,D8 v3/D8s v3 Low Priority,Dv3/DSv3 Series Windows,US East 2,0.301,219.73
27-Feb-2019,M416ms v2 Low Priority,MSv2 Series,EU North,23.796,17371.079999999998
30-Nov-2019,D48a v4/D48as v4 Low Priority,Dav4/Dasv4 Series Windows,US East,1.805,1317.6499999999999
28-Feb-2017,A6 Low Priority,A Series,US East,0.1,73
30-Nov-2017,A3 Low Priority,A Series Basic Windows,US East,0.1184,86.432
30-Nov-2019,E48a v4/E48as v4,Eav4/Easv4 Series,AP Southeast,3.648,2663.04
31-Oct-2016,A8m v2,Av2 Series,EU North,0.611,446.03
10-Jan-2019,Dsv3 Type1,DSv3 Series Dedicated Host,EU West,4.048,2955.04
10-Jan-2019,NC24r,NC Promo Series Windows,EU North,2.986,2179.78
26-Apr-2018,M32ts Low Priority,MS Series,EU North,0.600954,438.69642
10-Dec-2018,M16ms Low Priority,MS Series Windows,AP East,2.798,2042.54
16-Jun-2017,D2 v3/D2s v3,Dv3/DSv3 Series,AP Southeast,0.125,91.25
31-Oct-2016,A8 v2,Av2 Series Windows,AP Southeast,0.625,456.25
31-Mar-2017,E32 v3/E32s v3,Ev3/ESv3 Series,EU West,2.56,1868.8
10-Jan-2019,NC12,NC Promo Series Windows,AP Southeast,1.714,1251.22
31-Mar-2017,A4m v2 Low Priority,Av2 Series Windows,EU North,0.176,128.48
31-Oct-2018,F72s v2,FSv2 Series,EU West,3.492,2549.16
28-Feb-2017,D2/DS2 Low Priority,D/DS Series,AP East,0.045,32.85
28-Feb-2019,F72s v2 Low Priority,FSv2 Series,US East 2,0.609,444.57
27-Feb-2019,M208ms v2 Low Priority,MSv2 Series,EU North,10.709,7817.57
27-Feb-2019,M208s v2 Low Priority,MSv2 Series Windows,EU West,15.428,11262.44
10-Jan-2019,NC24r,NC Promo Series Windows,US East 2,2.846,2077.58
10-Dec-2018,A0 Low Priority,A Series,US East 2,0.004,2.92
03-May-2016,H16,H Series Windows,EU West,3.411,2490.03
30-Dec-2018,HC44rs Low Priority,HCS Series Windows,EU North,1.165,850.45
30-Sep-2015,D2/DS2,D/DS Series,AP East,0.225,164.25
31-Dec-2018,E8 v3/E8s v3,Ev3/ESv3 Series Windows,EU North,0.932,680.36
02-Nov-2017,M64s Low Priority,MS Series,US East,1.334,973.82
28-Feb-2017,A5 Low Priority,A Series,AP East,0.059,43.07
30-Nov-2019,D32a v4/D32as v4 Low Priority,Dav4/Dasv4 Series,US East,0.307,224.10999999999999
31-May-2018,D3 v2/DS3 v2,Dv2/DSv2 Series Windows,EU North,0.465,339.45000000000005
17-Aug-2017,F4s v2 Low Priority,FSv2 Series Windows,AP Southeast,0.141,102.92999999999999
31-May-2018,D32 v3/D32s v3 Low Priority,Dv3/DSv3 Series,US East,0.307,224.10999999999999
03-Feb-2017,F2/F2s,F/FS Series,AP East,0.144,105.11999999999999
31-Mar-2017,A8 v2 Low Priority,Av2 Series,EU North,0.077,56.21
28-Feb-2017,A2 Low Priority,A Series,EU North,0.024,17.52
30-Nov-2019,E8a v4/E8as v4,Eav4/Easv4 Series Windows,US East,0.872,636.56
30-Apr-2019,NC24rs v3,NCSv3 Series Windows,AP Southeast,19.844,14486.12
27-Feb-2019,M416s v2,MSv2 Series Windows,EU North,78.632,57401.36
31-Mar-2017,L4s,LS Series Windows,AP Southeast,0.558,407.34000000000003
31-May-2018,NC24 Low Priority,NC Series,US East 2,0.72,525.6
17-Aug-2017,F4s v2 Low Priority,FSv2 Series Windows,US East,0.13,94.9
30-Nov-2014,A4,A Series Windows,US East,0.72,525.6
16-Nov-2017,ND6s,NDS Series Windows,AP Southeast,3.579,2612.67
31-Mar-2017,E16 v3/E16s v3 Low Priority,Ev3/ESv3 Series,AP Southeast,0.256,186.88
30-Apr-2017,D3/DS3 Low Priority,D/DS Series Windows,EU West,0.237,173.01
31-Mar-2019,D3 v2/DS3 v2 Low Priority,Dv2/DSv2 Series,AP East,0.0857,62.561
31-Jul-2019,NV48s v3 Low Priority,NVSv3 Series,EU North,0.968,706.64
30-Apr-2014,A7,A Series,AP Southeast,1.08,788.4000000000001
17-Aug-2017,M64ms Low Priority,MS Series,EU West,2.894,2112.62
31-Jul-2017,F16s v2,FSv2 Series,US East,0.677,494.21000000000004
14-Nov-2018,L80s v2 Low Priority,LSv2 Series Windows,US East 2,3.968,2896.64
03-Feb-2017,F16/F16s,F/FS Series Windows,AP Southeast,1.66,1211.8
31-Jul-2019,F48s v2 Low Priority,FSv2 Series Windows,AP East,1.92,1401.6
08-May-2019,F48s v2,FSv2 Series,AP Southeast,2.352,1716.9599999999998
30-Sep-2015,D2/DS2,D/DS Series Windows,US East,0.28,204.4
08-May-2019,B16ms,BS Series Windows,AP Southeast,0.909,663.57
02-Dec-2019,Type 2,DSv3 Series Dedicated Host,US East,3.802,2775.46
30-Nov-2019,E48a v4/E48as v4 Low Priority,Eav4/Easv4 Series,EU North,0.677,494.21000000000004
31-May-2018,F2/F2s,F/FS Series,US East,0.099,72.27000000000001
07-Apr-2019,M208s v2,MSv2 Series,AP Southeast,29.003,21172.19
30-Apr-2017,D14 v2/DS14 v2 Low Priority,Dv2/DSv2 Series Windows,AP East,1.126,821.9799999999999
17-Aug-2017,F2s v2 Low Priority,FSv2 Series Windows,EU West,0.074,54.019999999999996
07-Apr-2019,M416s v2 Low Priority,MSv2 Series,AP Southeast,12.891,9410.43
30-Apr-2018,NC6s v3,NCSv3 Series Windows,US East,3.428,2502.44
31-May-2018,D32 v3/D32s v3,Dv3/DSv3 Series Windows,US East 2,3.008,2195.84
31-May-2018,D4 v2/DS4 v2,Dv2/DSv2 Series,EU North,0.527,384.71000000000004
31-May-2018,D4 v2/DS4 v2,Dv2/DSv2 Series Windows,AP East,1.333,973.0899999999999
31-Jul-2019,D16 v3/D16s v3 Low Priority,Dv3/DSv3 Series,AP East,0.211,154.03
30-Sep-2015,D14/DS14,D/DS Series,AP East,1.932,1410.36
10-Jan-2019,NC12,NC Promo Series Windows,EU North,1.407,1027.1100000000001
30-Apr-2017,G4/GS4 Low Priority,G/GS Series Windows,US East 2,1.952,1424.96
16-Nov-2017,NC6s v2,NCSv2 Series,AP Southeast,3.038,2217.74
31-Dec-2017,B1ms,BS Series,US East,0.0207,15.110999999999999
29-Jan-2018,F16s v2 Low Priority,FSv2 Series Windows,AP East,0.5644,412.012
10-Jan-2019,NV12,NV Promo Series,AP Southeast,1.908,1392.84
31-May-2018,D3 v2/DS3 v2,Dv2/DSv2 Series Windows,EU West,0.533,389.09000000000003
29-Jan-2018,NC24rs v2 Low Priority,NCSv2 Series,US East,1.8216,1329.768
31-May-2018,D12/DS12 Low Priority,D/DS Series Windows,US East,0.211,154.03
28-Feb-2017,A1 Low Priority,A Series,AP Southeast,0.012,8.76
10-Jan-2019,NC6,NC Promo Series,EU North,0.428,312.44
30-Apr-2017,D1/DS1 Low Priority,D/DS Series Windows,AP East,0.074,54.019999999999996
27-Feb-2019,M208ms v2 Low Priority,MSv2 Series Windows,EU West,27.03,19731.9
30-Dec-2018,HB60rs,HBS Series Windows,US East 2,2.52,1839.6
08-May-2019,D48 v3/D48s v3,Dv3/DSv3 Series Windows,US East,4.512,3293.7599999999998
26-Apr-2018,M8ms,MS Series,EU North,1.8438,1345.9740000000002
02-Feb-2017,E2 v3/E2s v3,Ev3/ESv3 Series Windows,EU West,0.252,183.96
31-Jul-2019,F72s v2,FSv2 Series Windows,AP East,7.2,5256
31-Mar-2019,D11/DS11 Low Priority,D/DS Series,US East 2,0.0347,25.331
30-Sep-2014,G2/GS2,G/GS Series,US East 2,1.1,803.0000000000001
30-Apr-2017,A3 Low Priority,A Series Windows,EU North,0.144,105.11999999999999
03-Feb-2017,A1,A Series Basic Windows,EU North,0.034,24.82
31-Oct-2018,F8s v2 Low Priority,FSv2 Series,AP Southeast,0.0784,57.232
31-Jul-2019,D48 v3/D48s v3 Low Priority,Dv3/DSv3 Series Windows,AP East,2.15,1569.5
30-Apr-2014,A7,A Series,EU West,1.08,788.4000000000001
30-Nov-2017,M128ms,MS Series,US East 2,26.688,19482.239999999998
30-Nov-2019,D8a v4/D8as v4,Dav4/Dasv4 Series,EU West,0.46,335.8
30-Jun-2019,PB6s,PB Series,EU West,1.079,787.67
08-May-2019,D48 v3/D48s v3,Dv3/DSv3 Series Windows,US East 2,4.512,3293.7599999999998
30-Nov-2019,E32a v4/E32as v4 Low Priority,Eav4/Easv4 Series,EU North,0.451,329.23
30-Apr-2019,NC24rs v3 Low Priority,NCSv3 Series Windows,EU West,7.214,5266.22
31-Mar-2019,D12/DS12 Low Priority,D/DS Series,AP East,0.0966,70.518
30-Nov-2014,A2,A Series,US East,0.12,87.6
31-Aug-2015,A10,A Series,US East,0.78,569.4
31-Mar-2019,B1ls,BS Series,US East,0.0052,3.796
31-Aug-2015,A9,A Series Windows,EU North,2.7,1971.0000000000002
31-Aug-2016,A1,A Series Basic,US East 2,0.024,17.52
31-May-2018,D4 v2/DS4 v2 Low Priority,Dv2/DSv2 Series Windows,US East 2,0.374,273.02
31-May-2018,D4 v2/DS4 v2,Dv2/DSv2 Series Windows,US East,1.008,735.84
31-Aug-2015,A10,A Series,EU West,0.897,654.8100000000001
03-May-2016,H8m,H Series Windows,EU West,2.285,1668.0500000000002
10-Oct-2018,DC2s Low Priority,DCS Series Windows,US East,0.0975,71.175
28-Feb-2019,F2s v2 Low Priority,FSv2 Series,US East 2,0.0169,12.336999999999998
30-Apr-2017,A10 Low Priority,A Series Windows,EU West,0.497,362.81
31-Aug-2018,D12 v2/DS12 v2 - Expired,Dv2/DSv2 Promo Series,AP Southeast,0.382,278.86
30-Nov-2017,M128ms,MS Series Windows,US East 2,35.814,26144.22
26-Apr-2018,M32ls Low Priority,MS Series Windows,US East,1.1634,849.282
30-Nov-2014,A4,A Series,EU North,0.48,350.4
10-Jan-2019,NC12,NC Promo Series,EU West,1.03,751.9
31-Jul-2017,F16s v2,FSv2 Series Windows,EU West,1.481,1081.13
30-Apr-2019,M128ms,MS Series Windows,EU North,41.15,30039.5
31-May-2018,B1s,BS Series Windows,US East 2,0.014,10.22
30-Apr-2019,NC6s v3,NCSv3 Series Windows,AP Southeast,4.51,3292.2999999999997
16-Jun-2017,D32 v3/D32s v3,Dv3/DSv3 Series,EU West,1.92,1401.6
31-Mar-2017,NC24 Low Priority,NC Series Windows,EU West,2.22,1620.6000000000001
17-Aug-2017,F16s v2 Low Priority,FSv2 Series Windows,AP Southeast,0.564,411.71999999999997
31-Mar-2017,L32s,LS Series Windows,US East 2,4.365,3186.4500000000003
31-Oct-2018,B1s,BS Series,US East,0.0104,7.592
30-Apr-2019,M16ms Low Priority,MS Series Windows,US East,1.686,1230.78
31-May-2018,D2 v2/DS2 v2,Dv2/DSv2 Series Windows,EU North,0.232,169.36
30-Apr-2019,NC24s v3 Low Priority,NCSv3 Series Windows,AP Southeast,7.216,5267.68
08-May-2019,L48s v2 Low Priority,LSv2 Series,US East 2,0.749,546.77
31-Mar-2017,NC24r Low Priority,NC Series,US East,0.792,578.1600000000001
31-Oct-2018,B8ms,BS Series,US East,0.333,243.09
31-May-2018,D64 v3/D64s v3 Low Priority,Dv3/DSv3 Series Windows,US East 2,2.406,1756.38
28-Feb-2017,A6 Low Priority,A Series,AP East,0.118,86.14
02-Nov-2017,M128s Low Priority,MS Series Windows,US East,7.69,5613.700000000001
30-Nov-2019,D64a v4/D64as v4 Low Priority,Dav4/Dasv4 Series Windows,US East,2.406,1756.38
02-Nov-2017,F2/F2s Low Priority,F/FS Series Windows,EU West,0.082,59.86
30-Apr-2017,D15 v2/DS15 v2 Low Priority,Dv2/DSv2 Series Windows,AP East,1.407,1027.1100000000001
28-Feb-2017,D12 v2/DS12 v2 Low Priority,Dv2/DSv2 Series,EU North,0.074,54.019999999999996
10-Jan-2019,NV24,NV Promo Series Windows,EU West,4.382,3198.8599999999997
30-Apr-2019,NC24rs v3,NCSv3 Series,EU West,16.821,12279.330000000002
13-Feb-2018,F4s v2,FSv2 Series,EU North,0.192,140.16
02-Dec-2019,Type 2,MSv2 Series Dedicated Host,US East 2,54.538,39812.74
30-Nov-2019,D32a v4/D32as v4 Low Priority,Dav4/Dasv4 Series,US East 2,0.307,224.10999999999999
31-May-2018,D2 v2/DS2 v2,Dv2/DSv2 Series Windows,AP East,0.333,243.09
30-Nov-2019,D2a v4/D2as v4,Dav4/Dasv4 Series Windows,US East 2,0.188,137.24
30-Apr-2019,NC12s v3 Low Priority,NCSv3 Series Windows,AP Southeast,3.608,2633.84
31-Mar-2019,M128ms Low Priority,MS Series Windows,AP Southeast,19.13,13964.9
30-Nov-2019,D8a v4/D8as v4 Low Priority,Dav4/Dasv4 Series,US East,0.0768,56.06399999999999
31-Mar-2017,A4 v2 Low Priority,Av2 Series Windows,EU North,0.11,80.3
03-May-2016,H8,H Series Windows,US East,1.754,1280.42
31-Oct-2016,A8m v2,Av2 Series Windows,AP East,1.191,869.4300000000001
31-Oct-2016,A4 v2,Av2 Series Windows,EU North,0.274,200.02
02-Nov-2017,D4 v3/D4s v3 Low Priority,Dv3/DSv3 Series,EU West,0.048,35.04
31-Mar-2017,NV6 Low Priority,NV Series Windows,US East,0.576,420.47999999999996
02-Dec-2019,Type 2,ESv3 Series Dedicated Host,EU North,4.774,3485.02
31-Jul-2019,NV12s v3,NVSv3 Series,US East,1.14,832.1999999999999
09-Aug-2018,M64ls,MS Series,AP East,8.1225,5929.425
26-Apr-2018,M32ms,MS Series,EU West,8.6044,6281.212
31-Aug-2018,D4 v2/DS4 v2 - Expired,Dv2/DSv2 Promo Series Windows,EU West,1.066,778.1800000000001
02-Nov-2017,H8 Low Priority,H Series Windows,AP Southeast,0.701,511.72999999999996
30-Apr-2017,G5/GS5 Low Priority,G/GS Series Windows,US East 2,3.512,2563.76
02-Dec-2019,Type 2,ESv3 Series Dedicated Host,EU West,5.162,3768.2599999999998
28-Feb-2019,F1/F1s Low Priority,F/FS Series Windows,AP Southeast,0.0415,30.295
31-Aug-2018,D5 v2/DS5 v2 - Expired,Dv2/DSv2 Promo Series Windows,AP East,2.666,1946.1799999999998
30-Nov-2019,D8a v4/D8as v4,Dav4/Dasv4 Series,EU North,0.428,312.44
10-Dec-2018,A0 Low Priority,A Series,AP Southeast,0.004,2.92
28-Feb-2017,D11 v2/DS11 v2 Low Priority,Dv2/DSv2 Series,AP Southeast,0.038,27.74
31-May-2015,G5/GS5,G/GS Series,EU West,9.99,7292.7
30-Nov-2019,E4a v4/E4as v4 Low Priority,Eav4/Easv4 Series,US East 2,0.0504,36.792
03-Feb-2017,F4/F4s,F/FS Series,AP Southeast,0.231,168.63
10-May-2018,E20 v3/E20s v3,Ev3/ESv3 Series Windows,AP Southeast,2.52,1839.6
31-Jul-2019,NV24s v3,NVSv3 Series,EU West,2.85,2080.5
31-Dec-2018,E2 v3/E2s v3,Ev3/ESv3 Series,EU North,0.141,102.92999999999999
30-Sep-2015,D12/DS12,D/DS Series,AP Southeast,0.42,306.59999999999997
08-May-2019,L48s v2 Low Priority,LSv2 Series Windows,US East 2,2.381,1738.1299999999999
02-Dec-2019,Type 3,Easv4 Series Dedicated Host,US East,6.653,4856.69
31-Mar-2019,M32ts,MS Series Windows,EU West,4.72,3445.6
17-Aug-2017,F32s v2 Low Priority,FSv2 Series Windows,AP Southeast,1.129,824.17
31-Oct-2018,B1ms,BS Series Windows,AP Southeast,0.0304,22.192
31-Mar-2017,E8 v3/E8s v3,Ev3/ESv3 Series Windows,AP Southeast,1.008,735.84
08-May-2019,E48 v3/E48s v3 Low Priority,Ev3/ESv3 Series Windows,US East 2,2.093,1527.8899999999999
30-Nov-2019,D2a v4/D2as v4 Low Priority,Dav4/Dasv4 Series Windows,EU North,0.0796,58.108000000000004
31-Jul-2019,D32 v3/D32s v3 Low Priority,Dv3/DSv3 Series Windows,AP East,1.434,1046.82
31-Oct-2018,F2s v2,FSv2 Series,EU West,0.097,70.81
14-Dec-2017,D32 v3/D32s v3,Dv3/DSv3 Series,EU North,1.712,1249.76
31-Mar-2019,M16s Low Priority,MS Series,EU West,0.668,487.64000000000004
26-Apr-2018,M32s,MS Series Windows,US East 2,4.807,3509.11
09-Jun-2019,D15i v2/DS15i v2,Dv2/DSv2 Series,US East 2,1.495,1091.3500000000001
31-Mar-2017,A2 v2 Low Priority,Av2 Series,US East,0.018,13.139999999999999
30-Nov-2017,NV6 Low Priority,NV Series,US East,0.228,166.44
30-Nov-2019,D2a v4/D2as v4 Low Priority,Dav4/Dasv4 Series,AP Southeast,0.024,17.52
31-Oct-2016,A8 v2,Av2 Series Windows,US East,0.6,438
28-Feb-2017,A9 Low Priority,A Series,EU North,0.39,284.7
31-May-2018,D11/DS11 Low Priority,D/DS Series Windows,US East 2,0.097,70.81
31-Oct-2016,A8m v2,Av2 Series Windows,EU North,0.926,675.98
30-Nov-2019,E8a v4/E8as v4,Eav4/Easv4 Series,US East,0.504,367.92
31-Oct-2018,B8ms,BS Series,AP Southeast,0.422,308.06
31-Mar-2017,L32s,LS Series,EU West,2.976,2172.48
31-May-2015,G3/GS3,G/GS Series,EU West,2.8,2043.9999999999998
30-Nov-2019,D64a v4/D64as v4 Low Priority,Dav4/Dasv4 Series Windows,EU West,2.65,1934.5
30-Nov-2019,D2a v4/D2as v4 Low Priority,Dav4/Dasv4 Series Windows,AP Southeast,0.0848,61.904
31-Mar-2019,D32 v3/D32s v3 Low Priority,Dv3/DSv3 Series Windows,EU North,1.274,930.02
02-Nov-2017,E32 v3/E32s v3 Low Priority,Ev3/ESv3 Series Windows,EU West,1.613,1177.49
30-Sep-2015,D2/DS2,D/DS Series,AP Southeast,0.196,143.08
31-May-2018,F4/F4s,F/FS Series Windows,AP East,0.518,378.14
30-Apr-2017,D1/DS1 Low Priority,D/DS Series Windows,AP Southeast,0.064,46.72
30-Nov-2019,E32a v4/E32as v4,Eav4/Easv4 Series,AP Southeast,2.432,1775.36
02-Nov-2017,L4s Low Priority,LS Series Windows,AP Southeast,0.223,162.79
31-Mar-2019,D2 v2/DS2 v2 Low Priority,Dv2/DSv2 Series Windows,AP Southeast,0.116,84.68
28-Feb-2017,D3/DS3 Low Priority,D/DS Series,EU West,0.067,48.910000000000004
31-Mar-2017,L8s,LS Series,EU West,0.744,543.12
31-Jul-2019,E8 v3/E8s v3,Ev3/ESv3 Series Windows,AP East,1.036,756.28
02-Feb-2017,E16 v3/E16s v3,Ev3/ESv3 Series,EU West,1.28,934.4
31-May-2018,D12/DS12,D/DS Series,US East 2,0.347,253.30999999999997
18-May-2017,M64s,MS Series Windows,EU West,12.281,8965.130000000001
10-Feb-2014,A0,A Series Basic Windows,US East,0.018,13.139999999999999
31-Aug-2015,A8,A Series,EU North,0.975,711.75
17-Aug-2017,B2s,BS Series,EU North,0.045,32.85
28-Feb-2017,D11/DS11 Low Priority,D/DS Series,AP East,0.048,35.04
31-Jan-2019,L8s v2,LSv2 Series Windows,US East,0.992,724.16
26-Apr-2018,M32ms,MS Series Windows,US East,8.4276,6152.148
31-Oct-2018,B4ms,BS Series,EU West,0.192,140.16
31-Mar-2019,M64ms,MS Series Windows,AP Southeast,19.552,14272.96
30-Nov-2019,D8a v4/D8as v4,Dav4/Dasv4 Series,US East,0.384,280.32
31-Mar-2019,M128ms,MS Series,AP Southeast,38.698,28249.54
18-May-2017,M64s,MS Series Windows,US East 2,9.613,7017.49
31-Dec-2014,A3,A Series Basic Windows,AP Southeast,0.348,254.04
02-Nov-2017,F4/F4s Low Priority,F/FS Series Windows,AP Southeast,0.166,121.18
14-Dec-2017,D4 v3/D4s v3,Dv3/DSv3 Series,EU North,0.214,156.22
31-Jul-2019,B12ms,BS Series Windows,AP East,0.749,546.77
03-Feb-2017,F2/F2s,F/FS Series Windows,AP East,0.259,189.07
16-Nov-2017,NC6s v2,NCSv2 Series Windows,AP Southeast,3.579,2612.67
09-Oct-2019,D96a v4/D96as v4 Low Priority,Dav4/Dasv4 Series Windows,EU West,3.974,2901.02
28-Feb-2017,A6 Low Priority,A Series,AP Southeast,0.108,78.84
31-Mar-2017,A2m v2 Low Priority,Av2 Series Windows,AP East,0.108,78.84
30-Apr-2019,M128ms Low Priority,MS Series Windows,EU North,16.46,12015.800000000001
30-Nov-2014,A3,A Series,US East,0.24,175.2
31-Jul-2019,D1 v2/DS1 v2,Dv2/DSv2 Series,AP Southeast,0.0789,57.597
08-May-2019,B12ms,BS Series Windows,EU North,0.594,433.62
02-Nov-2017,M64s,MS Series Windows,AP Southeast,12.615,9208.95
31-Mar-2019,M16s,MS Series,EU North,2.864,2090.72
30-Nov-2016,NC24R,NC Series,AP Southeast,5.813,4243.49
31-Oct-2016,A8 v2,Av2 Series,US East,0.4,292
29-Jan-2018,F8s v2 Low Priority,FSv2 Series,EU North,0.0768,56.06399999999999
08-May-2019,B12ms,BS Series Windows,US East,0.547,399.31
03-Feb-2017,F8/F8s,F/FS Series,AP Southeast,0.462,337.26
02-Nov-2017,M128ms,MS Series Windows,US East,35.814,26144.22
30-Nov-2014,A2,A Series Windows,US East 2,0.18,131.4
26-Apr-2018,M32ms Low Priority,MS Series,US East 2,1.2292,897.316
31-Aug-2015,A9,A Series,US East,1.95,1423.5
30-Nov-2019,E48a v4/E48as v4 Low Priority,Eav4/Easv4 Series,US East,0.605,441.65
08-May-2019,L48s v2,LSv2 Series Windows,EU West,6.672,4870.5599999999995
10-Dec-2018,M16s Low Priority,MS Series Windows,AP East,2.099,1532.2700000000002
08-May-2019,D48 v3/D48s v3 Low Priority,Dv3/DSv3 Series Windows,US East,1.805,1317.6499999999999
30-Apr-2019,M32s Low Priority,MS Series Windows,EU West,2.511,1833.0300000000002
26-Apr-2018,M32ts Low Priority,MS Series Windows,AP Southeast,1.23848,904.0904
30-Nov-2016,NC12,NC Series Windows,EU North,2.312,1687.76
31-Jul-2017,F4s v2,FSv2 Series,US East,0.169,123.37
31-Jul-2019,D8 v3/D8s v3 Low Priority,Dv3/DSv3 Series Windows,AP East,0.358,261.34
09-Aug-2018,M16s,MS Series Windows,AP East,5.2465,3829.945
02-Nov-2017,L32s Low Priority,LS Series Windows,EU West,1.779,1298.6699999999998
03-Feb-2017,F4/F4s,F/FS Series Windows,EU West,0.411,300.03
30-Nov-2017,A3 Low Priority,A Series Basic Windows,EU West,0.1296,94.60799999999999
31-Jul-2019,F4s v2,FSv2 Series,AP East,0.216,157.68
31-May-2018,D8 v3/D8s v3,Dv3/DSv3 Series,US East 2,0.384,280.32
28-Feb-2017,G4/GS4 Low Priority,G/GS Series,US East 2,0.88,642.4
31-Oct-2013,A1,A Series,EU North,0.06,43.8
31-Oct-2016,A2 v2,Av2 Series,AP Southeast,0.095,69.35
28-Feb-2017,D15 v2/DS15 v2 Low Priority,Dv2/DSv2 Series,AP East,0.459,335.07
31-Oct-2016,A1 v2,Av2 Series,EU North,0.041,29.93
31-Mar-2017,A8m v2 Low Priority,Av2 Series,EU West,0.109,79.57
